Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
[Hongdae Modern DUAL STAGE house],Jongno-gu,ENTIRE APARTMENT,8 guests,"['2 bedrooms', '4 beds', '1 bath']",$71 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",151,Rating 5 out of 5
"Seoul Lucky GuestHouse, Room with Private Bath #2",Gangseo-gu,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$31 per night,"['Kitchen', 'Wifi', 'Breakfast', 'Iron', 'Hair dryer', 'Hangers']",143,Rating 4.5 out of 5
???? ???? ??????????,Seodaemun-gu,ENTIRE CONDOMINIUM,3 guests,"['1 bedroom', '2 beds', '1 bath']",$27 per night,"['Free parking on premises', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",108,Rating 5 out of 5
Ehwa Women's University Station - Great transportation,Jung-gu,PRIVATE ROOM IN HOUSE,4 guests,"['1 bedroom', '1 bed', '1 private bath']",$22 per night,"['Kitchen', 'Wifi', 'Breakfast', 'Dryer', 'Iron', 'Hair dryer']",91,Rating 4.5 out of 5
A25 Cozy House near myeongdong street 2 mins!!,Yongsan-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$47 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",70,Rating 5 out of 5
???? 1???? _Itaewon station in 5mns,??????????,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$43 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers', 'Essentials']",69,Rating 4.5 out of 5
Tidy Studio in Dongdaemun Myeongdong (Free Egg),Songpa-gu,ENTIRE APARTMENT,4 guests,"['1 bedroom', '1 bed', '1 bath']",$59 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer']",97,Rating 4 out of 5
"""Comestay"" Double bed+bunk bed Room KR",Yangcheon-gu,PRIVATE ROOM IN HOUSE,4 guests,"['1 bedroom', '2 beds', '2.5 shared baths']",$22 per night,"['Kitchen', 'Wifi', 'Breakfast', 'Dryer', 'Iron', 'Hair dryer']",139,Rating 5 out of 5
"1min to subway, duplex clean studio",Mapo-gu,ENTIRE APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 bath']",$35 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer']",64,Rating 5 out of 5
Twin Rabbit Guest house_Twin room,Jung-gu,PRIVATE ROOM IN HOUSE,2 guests,"['1 bedroom', '2 beds', '1 private bath']",$36 per night,"['Free parking on premises', 'Elevator', 'Kitchen', 'Wifi', 'Breakfast', 'Dryer']",82,Rating 4.5 out of 5
"Cozy Studio, Dongdaemun",Gangnam-gu,ENTIRE APARTMENT,3 guests,"['Studio', '1 bed', '1 bath']",$44 per night,"['Elevator', 'Kitchen', 'Wifi', 'Dryer', 'Hair dryer', 'Cable TV']",87,Rating 5 out of 5
City of center Kangnam Entire flat,Jongno-gu,ENTIRE CONDOMINIUM,2 guests,"['1 bedroom', '1 bed', '1 bath']",$53 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",144,Rating 5 out of 5
"NEW!Seoul,Jongno,Changdeok Palace#i",Jongno-gu,ENTIRE APARTMENT,3 guests,"['1 bedroom', '2 beds', '1 bath']",$44 per night,"['Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV', 'Hangers']",140,Rating 5 out of 5
???? MYEONG DONG -Portable WIFI #2 (NEW),Seodaemun-gu,ENTIRE HOUSE,4 guests,"['1 bedroom', '3 beds', '1 bath']",$55 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Cable TV']",54,Rating 5 out of 5
[Open sale]Hongdae 3min *Comfy Private Room*,Seodaemun-gu,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$30 per night,"['Elevator', 'Kitchen', 'Wifi', 'Iron', 'Hair dryer', 'Hangers']",64,Rating 5 out of 5
Newly Open*Guest Room_5mins from Hongdae stn.,Mapo-gu,ENTIRE HOUSE,3 guests,"['1 bedroom', '2 beds', '1 bath']",$40 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",51,Rating 4.5 out of 5
NEW1??[Open SALE]HONGDAE MIRACLE HOUSE??BEST LOCTION,Gangdong-gu,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', '1 shared bath']",$26 per night,"['Kitchen', 'Wifi', 'Dryer', 'Iron', 'Hair dryer', 'Cable TV']",86,Rating 5 out of 5
