Name,Location,Hometype,Max_guest,Home_summary,Price,Amenities,Reviewnumber,Reviewstar
Cassis studio + piscine,Cassis,ENTIRE CONDOMINIUM,2 guests,"['Studio', '1 bed', '1 bath']",$60 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Wifi']",310,Rating 4.5 out of 5
Magnifique appart au bord du lac,Lacanau,ENTIRE APARTMENT,5 guests,"['2 bedrooms', '3 beds', '1 bath']",$68 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Wifi']",107,Rating 5 out of 5
"Traditional Normandy house, 26 beds, 40 hectares",Villers-sur-Mer,ENTIRE COTTAGE,16+ guests,"['3 bedrooms', '16 beds', '2 baths']",$289 per night,"['Essentials', 'Indoor fireplace', 'Heating', 'Washer', 'Wifi', 'Free parking on premises']",102,Rating 4.5 out of 5
cottage Ouessant in Kerellec watermill 2km beaches,Plougoulm,EARTH HOUSE,6 guests,"['2 bedrooms', '4 beds', '1 bath']",$65 per night,"['Ethernet connection', 'Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace']",114,Rating 5 out of 5
Lovely 19th century burgandy farm,Vaudeurs,ENTIRE HOUSE,12 guests,"['6 bedrooms', '10 beds', '2.5 baths']",$519 per night,"['Cable TV', 'Dryer', 'Essentials', 'Indoor fireplace', 'Heating', 'Laptop friendly workspace']",47,Rating 5 out of 5
Traditional 3-bedroom fisherman house,Honfleur,ENTIRE HOUSE,6 guests,"['3 bedrooms', '4 beds', '3 baths']",$231 per night,"['Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV', 'Washer']",104,Rating 5 out of 5
Chambre romantique,Cannes,PRIVATE ROOM IN APARTMENT,2 guests,"['1 bedroom', '1 bed', 'Half-bath']",$52 per night,"['Elevator', 'Breakfast', 'Wifi', 'Cable TV', 'Essentials', 'Shampoo']",341,Rating 5 out of 5
Manoir Equivocal Mid Age Dovecote,Corgoloin,CASTLE,3 guests,"['1 bedroom', '2 beds', '1 bath']",$174 per night,"['Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace', 'Wifi']",90,Rating 5 out of 5
Insolite entre Nantes et la mer,Vue,PRIVATE ROOM IN BED AND BREAKFAST,2 guests,"['1 bedroom', '1 bed', '1 private bath']",$87 per night,"['Essentials', 'Indoor fireplace', 'Free parking on premises', 'Breakfast']",90,Rating 4.5 out of 5
Dojo 80m2 $ 7km Lille perfect group,Wambrechies,ENTIRE GUEST SUITE,15 guests,"['1 bedroom', '15 beds', '1 bath']",$16 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'Iron', 'Hair dryer', 'Hangers']",237,Rating 5 out of 5
Place de la Bastille.,Paris,ENTIRE APARTMENT,2 guests,"['Studio', '1 bed', '1 bath']",$83 per night,"['Wifi', 'Kitchen', 'Dryer', 'Laptop friendly workspace', 'Cable TV', 'Iron']",466,Rating 4.5 out of 5
Cocooning Charmant BUTTERFLY,Paris,ENTIRE APARTMENT,3 guests,"['Studio', '2 beds', '1 bath']",$93 per night,"['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'Hair dryer', 'Shampoo']",226,Rating 4.5 out of 5
Isla paradisiaca hasta 22 huespedes,Beaulieu sur Loire,CASTLE,16+ guests,"['10 bedrooms', '16 beds', '8 baths']","$1,273 per night","['Essentials', 'Indoor fireplace', 'Heating', 'Iron', 'Laptop friendly workspace', 'Wifi']",33,Rating 5 out of 5
Loft moderne 45m2 en centre ville,Colmar,ENTIRE LOFT,4 guests,"['1 bedroom', '1 bed', '1 bath']",$69 per night,"['Essentials', 'Heating', 'Iron', 'TV', 'Washer', 'Wifi']",197,Rating 5 out of 5
"Beautiful views of Avignon, quiet",Avignon,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$88 per night,"['Air conditioning', 'Essentials', 'Heating', 'Iron', 'Laptop friendly workspace', 'TV']",340,Rating 4.5 out of 5
L'Orangerie du Chateau,Courcelles-Sous-Thoix,ENTIRE GUESTHOUSE,5 guests,"['1 bedroom', '3 beds', '1 bath']",$58 per night,"['Free parking on premises', 'Kitchen', 'Indoor fireplace', 'Hair dryer', 'Essentials', 'Heating']",130,Rating 4.5 out of 5
PATIO STUDIO CENTRE,Bordeaux,ENTIRE APARTMENT,4 guests,"['Studio', '2 beds', '1 bath']",$58 per night,"['Wifi', 'Kitchen', 'Laptop friendly workspace', 'TV', 'Essentials', 'Shampoo']",441,Rating 5 out of 5
Beautiful studio Toulouse,Toulouse,ENTIRE GUEST SUITE,2 guests,"['1 bedroom', '1 bed', '1 bath']",$42 per night,"['Free parking on premises', 'Wifi', 'Kitchen', 'Air conditioning', 'Iron', 'TV']",383,Rating 5 out of 5
Cabin into the wild,Idrac respailles,ENTIRE CABIN,3 guests,"['1 bedroom', '2 beds', '1 bath']",$58 per night,"['Essentials', 'Heating', 'Wifi', 'Children??s books and toys', 'Free parking on premises', 'Pool']",110,Rating 4.5 out of 5
Nice - Harbor charming small house,Nice,ENTIRE HOUSE,2 guests,"['1 bedroom', '1 bed', '1.5 baths']",$76 per night,"['Essentials', 'Kitchen', 'Wifi', 'Iron', 'Air conditioning', 'Shampoo']",208,Rating 4.5 out of 5
"Historical center, jacuzzi, design and relax***",Montpellier,ENTIRE APARTMENT,4 guests,"['1 bedroom', '2 beds', '1 bath']",$51 per night,"['Hot tub', 'Wifi', 'Cable TV', 'Breakfast', 'Kitchen', 'Dryer']",100,Rating 5 out of 5
